Startup Name,Industry,Founder(s),City,Year,Asked Amount (INR),Equity Offered (%),Deal Status,Investor(s),Invested Amount (INR),Equity Taken (%),Valuation (INR)
Startup 29,Food & Beverage,"Tanya Sharma, Rahul Kapoor, Sneha Singh",Mumbai,2024,59900000,17.26,No,,0,0,347045191
Startup 30,Tech,"Nidhi Verma, Karan Gupta, Sneha Chopra",Pune,2023,73400000,4.67,Yes,,72386308,4.24,1571734475
Startup 31,E-commerce,"Meera Chopra, Tanya Kapoor",Pune,2025,86000000,23.43,No,,0,0,367050789
Startup 32,Agriculture,Meera Singh,Ahmedabad,2021,3900000,12.86,No,,0,0,30326594
Startup 33,Food & Beverage,"Pooja Reddy, Arjun Reddy",Chennai,2024,57900000,1.24,Yes,"Anupam Mittal, Ghazal Alagh, Vineeta Singh",52299093,1.33,4669354838
Startup 34,Agriculture,"Amit Sharma, Arjun Patel",Ahmedabad,2025,32300000,16.94,No,,0,0,190672963
Startup 35,Agriculture,"Ravi Reddy, Karan Nair, Nidhi Reddy",Kolkata,2024,32300000,7.03,Yes,,23456879,7.71,459459459
Startup 36,Food & Beverage,Pooja Gupta,Chennai,2024,11200000,20.98,No,,0,0,53384175
Startup 37,Education,"Rahul Kapoor, Amit Nair",Delhi,2024,5600000,24.38,No,,0,0,22969647
Startup 38,Food & Beverage,"Meera Sharma, Amit Singh, Arjun Gupta",Kolkata,2023,35800000,5.42,Yes,"Aman Gupta, Ghazal Alagh",27218130,4.5,660516605
Startup 39,Entertainment,"Tanya Patel, Ravi Chopra, Meera Gupta",Chennai,2022,32200000,14.65,Yes,,28852350,17.27,219795221
Startup 40,Fashion,Pooja Kapoor,Chennai,2023,8200000,17.5,No,,0,0,46857142
Startup 41,Entertainment,"Tanya Kapoor, Meera Sharma, Meera Kapoor",Ahmedabad,2024,52200000,13.96,No,,0,0,373925501
Startup 42,Tech,"Amit Chopra, Nidhi Singh, Arjun Verma",Bangalore,2025,99400000,17.18,Yes,,86369915,15.6,578579743
Startup 43,Health,Meera Nair,Kolkata,2024,19500000,24.93,No,,0,0,78219013
Startup 44,Agriculture,Meera Reddy,Ahmedabad,2021,33800000,17.08,Yes,"Anupam Mittal, Namita Thapar, Ghazal Alagh",31279412,17.42,197892271
Startup 45,Tech,Tanya Patel,Delhi,2024,57400000,1.33,No,,0,0,4315789473
Startup 46,E-commerce,"Arjun Chopra, Meera Gupta, Pooja Gupta",Delhi,2022,20500000,23.12,Yes,Ghazal Alagh,14565228,25.8,88667820
Startup 47,Finance,"Ravi Kapoor, Amit Kapoor",Chennai,2023,89600000,4.57,No,,0,0,1960612691
Startup 48,Travel,"Ravi Nair, Karan Gupta",Pune,2025,72400000,6.73,No,,0,0,1075780089
Startup 49,Travel,"Ravi Chopra, Nidhi Gupta, Ravi Verma",Bangalore,2025,65600000,17.43,No,,0,0,376362593
Startup 50,Food & Beverage,Rahul Sharma,Ahmedabad,2025,51900000,22.91,Yes,"Namita Thapar, Anupam Mittal, Ghazal Alagh",44983613,26.57,226538629
Startup 51,Agriculture,"Ravi Mehta, Sneha Gupta",Pune,2024,66400000,24.09,No,,0,0,275633042
Startup 52,Agriculture,"Pooja Chopra, Meera Sharma",Hyderabad,2022,59500000,9.62,No,,0,0,618503118
Startup 53,Fashion,Tanya Reddy,Hyderabad,2025,64500000,7.02,Yes,,62007815,7.43,918803418
Startup 54,Fashion,"Amit Singh, Nidhi Mehta",Bangalore,2024,34400000,18.94,Yes,"Namita Thapar, Vineeta Singh, Peyush Bansal",33209580,21.44,181626187
Startup 55,E-commerce,"Sneha Chopra, Amit Kapoor",Bangalore,2023,38700000,17.15,No,,0,0,225655976
Startup 56,Entertainment,"Nidhi Sharma, Pooja Gupta",Mumbai,2021,94700000,15.64,Yes,,74406454,16.9,605498721
Startup 57,Finance,Rahul Verma,Mumbai,2024,51400000,3.79,Yes,"Ghazal Alagh,",33629252,3.72,1356200527
Startup 58,E-commerce,"Tanya Mehta, Karan Sharma",Kolkata,2022,97100000,23.84,Yes,Peyush Bansal,66698754,23.31,407298657
Startup 59,Education,"Sneha Reddy, Ravi Reddy",Mumbai,2022,29200000,5.56,Yes,,27146551,4.65,525179856
Startup 60,E-commerce,"Sneha Gupta, Ravi Patel, Tanya Verma",Chennai,2023,66800000,24.14,Yes,,62719817,23.43,276719138
Startup 61,Finance,"Sneha Reddy, Karan Reddy, Arjun Reddy",Delhi,2023,7800000,3.19,Yes,Peyush Bansal,6985043,3.59,244514106
Startup 62,E-commerce,"Tanya Nair, Amit Singh, Arjun Verma",Delhi,2024,72900000,19.3,No,,0,0,377720207
Startup 63,Tech,"Amit Chopra, Amit Gupta",Bangalore,2021,59900000,11.3,No,,0,0,530088495
Startup 64,Finance,"Sneha Chopra, Amit Reddy",Delhi,2023,86100000,17.55,No,,0,0,490598290
Startup 65,Education,"Rahul Sharma, Ravi Sharma",Hyderabad,2021,36900000,18.46,Yes,Namita Thapar,25051731,19.22,199891657
Startup 66,Tech,Meera Gupta,Kolkata,2021,89400000,24.3,No,,0,0,367901234
Startup 67,Tech,"Rahul Verma, Pooja Gupta, Meera Nair",Delhi,2021,39100000,23.03,No,,0,0,169778549
Startup 68,Fashion,"Tanya Mehta, Nidhi Sharma, Tanya Mehta",Pune,2024,100000000,16.75,No,,0,0,597014925
Startup 69,Food & Beverage,"Sneha Kapoor, Ravi Chopra, Nidhi Mehta",Bangalore,2022,53000000,9.68,No,,0,0,547520661
Startup 70,Fashion,Pooja Reddy,Kolkata,2025,24100000,25,Yes,Vineeta Singh,21891232,28.35,96400000
Startup 71,E-commerce,Nidhi Singh,Delhi,2022,16700000,4.89,Yes,,10311865,4.62,341513292
Startup 72,Education,"Tanya Kapoor, Meera Patel",Hyderabad,2024,99800000,20.41,No,,0,0,488975992
Startup 73,Education,"Tanya Gupta, Meera Kapoor",Ahmedabad,2022,99900000,4.89,Yes,,65470405,4.4,2042944785
Startup 74,E-commerce,Karan Sharma,Hyderabad,2023,91500000,9.39,Yes,"Vineeta Singh, Namita Thapar",63529477,11.25,974440894
Startup 75,Travel,Amit Reddy,Bangalore,2021,82000000,4.51,Yes,"Peyush Bansal, Ashneer Grover",74089989,4.45,1818181818
Startup 76,Entertainment,Sneha Verma,Chennai,2025,86500000,4.59,No,,0,0,1884531590
Startup 77,Tech,"Pooja Kapoor, Sneha Verma",Hyderabad,2022,66400000,20.05,No,,0,0,331172069
Startup 78,Tech,Meera Singh,Mumbai,2025,74500000,4.45,No,,0,0,1674157303
Startup 79,Food & Beverage,"Meera Gupta, Rahul Mehta, Sneha Gupta",Mumbai,2024,21600000,2.05,Yes,,15686747,1.89,1053658536
Startup 80,Finance,"Meera Kapoor, Amit Patel, Arjun Reddy",Mumbai,2021,28900000,3.99,No,,0,0,724310776
Startup 81,Finance,"Meera Chopra, Nidhi Mehta",Kolkata,2023,38600000,23.18,No,,0,0,166522864
Startup 82,Tech,"Karan Sharma, Karan Singh, Rahul Nair",Chennai,2021,11500000,2.92,No,,0,0,393835616
Startup 83,Fashion,"Tanya Chopra, Rahul Gupta",Pune,2023,5300000,18.44,No,,0,0,28741865
Startup 84,Health,Sneha Patel,Pune,2021,40200000,23.79,Yes,"Peyush Bansal, Ashneer Grover",35039317,28.06,168978562
Startup 85,Travel,"Sneha Singh, Rahul Nair",Pune,2022,33100000,16.59,Yes,"Anupam Mittal, Ghazal Alagh",20203092,14.51,199517781
Startup 86,E-commerce,"Ravi Sharma, Arjun Kapoor",Kolkata,2025,63600000,7.85,No,,0,0,810191082
Startup 87,Travel,"Sneha Nair, Ravi Kapoor, Arjun Mehta",Delhi,2021,53000000,6.38,Yes,,36818807,6.36,830721003
Startup 88,Education,"Ravi Kapoor, Sneha Kapoor",Hyderabad,2024,13800000,16,Yes,,9210870,18.83,86250000
Startup 89,Finance,"Amit Gupta, Ravi Kapoor, Arjun Gupta",Hyderabad,2022,31400000,11.89,Yes,"Anupam Mittal, Ghazal Alagh",21402529,12.4,264087468
Startup 90,Travel,"Nidhi Reddy, Karan Mehta, Nidhi Nair",Bangalore,2021,25700000,12.2,No,,0,0,210655737
Startup 91,Agriculture,Rahul Sharma,Mumbai,2024,97800000,10.22,No,,0,0,956947162
Startup 92,Education,Nidhi Singh,Pune,2025,79100000,4.82,No,,0,0,1641078838
Startup 93,Agriculture,"Meera Verma, Sneha Chopra",Kolkata,2025,23000000,15,Yes,"Vineeta Singh, Peyush Bansal",19987189,13.71,153333333
Startup 94,Health,Karan Mehta,Chennai,2021,79200000,10.68,Yes,"Vineeta Singh, Ashneer Grover, Namita Thapar",65046102,8.86,741573033
Startup 95,Entertainment,"Ravi Nair, Ravi Gupta",Chennai,2023,84500000,1.4,No,,0,0,6035714285
Startup 96,Tech,"Tanya Kapoor, Amit Singh",Kolkata,2024,100000000,16.73,Yes,,83340931,14.53,597728631
Startup 97,Entertainment,"Rahul Patel, Amit Singh",Bangalore,2025,2900000,11.58,No,,0,0,25043177
Startup 98,Finance,"Rahul Gupta, Ravi Reddy",Pune,2024,63400000,12.62,Yes,"Ashneer Grover, Namita Thapar",57596979,13.65,502377179
Startup 99,Finance,"Rahul Kapoor, Amit Kapoor",Bangalore,2021,95600000,11.62,No,,0,0,822719449
Startup 100,Agriculture,Pooja Nair,Chennai,2024,15000000,3.62,Yes,"Vineeta Singh, Ashneer Grover, Peyush Bansal",9314946,3.49,414364640
Startup 101,Agriculture,Rahul Verma,Delhi,2022,67800000,23.44,No,,0,0,289249146
Startup 102,Food & Beverage,Karan Gupta,Delhi,2024,90700000,1.9,No,,0,0,4773684210
Startup 103,Education,Nidhi Mehta,Kolkata,2024,74500000,5.47,No,,0,0,1361974405
Startup 104,Health,"Karan Patel, Meera Kapoor",Pune,2024,60600000,18.35,Yes,"Peyush Bansal, Ashneer Grover",37865893,15.55,330245231
Startup 105,Travel,"Pooja Patel, Rahul Gupta, Rahul Gupta",Pune,2022,72800000,14.18,No,,0,0,513399153
Startup 106,Travel,"Meera Chopra, Karan Sharma",Delhi,2021,13100000,5.28,No,,0,0,248106060
Startup 107,E-commerce,Pooja Verma,Mumbai,2024,48400000,17.16,No,,0,0,282051282
Startup 108,E-commerce,"Pooja Patel, Meera Reddy",Delhi,2024,20300000,23.5,Yes,"Anupam Mittal, Vineeta Singh, Aman Gupta",14134210,19.43,86382978
Startup 109,Entertainment,Meera Singh,Mumbai,2025,76800000,2.06,No,,0,0,3728155339
Startup 110,Education,"Pooja Verma, Rahul Nair, Arjun Patel",Pune,2021,25200000,8.24,Yes,,20374210,7.96,305825242
Startup 111,Fashion,Ravi Singh,Delhi,2022,57900000,12.89,No,,0,0,449185415
Startup 112,Finance,"Nidhi Chopra, Karan Mehta, Arjun Chopra",Delhi,2023,25600000,21.38,No,,0,0,119738072
Startup 113,Food & Beverage,"Amit Nair, Karan Chopra",Delhi,2022,25800000,7.12,No,,0,0,362359550
Startup 114,Tech,"Nidhi Sharma, Ravi Patel",Mumbai,2024,39600000,17.17,Yes,"Vineeta Singh, Ashneer Grover, Namita Thapar",26740506,18.97,230634828
Startup 115,E-commerce,Meera Patel,Pune,2024,98900000,22.82,Yes,Aman Gupta,97399788,19.33,433391761
Startup 116,Agriculture,Tanya Patel,Ahmedabad,2025,57500000,8.72,No,,0,0,659403669
Startup 117,Finance,"Ravi Reddy, Arjun Kapoor",Pune,2023,48700000,3.37,No,,0,0,1445103857
Startup 118,Education,"Tanya Patel, Meera Nair",Pune,2024,79100000,20.72,No,,0,0,381756756
Startup 119,Agriculture,Nidhi Mehta,Delhi,2023,19800000,23.01,Yes,"Anupam Mittal, Vineeta Singh, Aman Gupta",18525422,19.09,86049543
Startup 120,Finance,Nidhi Chopra,Kolkata,2025,72300000,6.42,Yes,,68199698,7.09,1126168224
Startup 121,Finance,"Nidhi Singh, Sneha Nair, Amit Patel",Hyderabad,2023,28700000,2.12,Yes,Vineeta Singh,20438682,2.16,1353773584
Startup 122,Tech,"Rahul Singh, Pooja Singh",Ahmedabad,2021,40300000,19.13,Yes,,35291685,15.9,210663878
Startup 123,Travel,Arjun Gupta,Kolkata,2025,37400000,14.27,No,,0,0,262088297
Startup 124,Finance,Tanya Chopra,Bangalore,2024,82700000,6.91,Yes,Anupam Mittal,73162280,7.28,1196816208
Startup 125,Finance,"Nidhi Sharma, Sneha Verma",Chennai,2023,37800000,19.27,Yes,Anupam Mittal,29466516,19.69,196159833
Startup 126,Agriculture,Nidhi Kapoor,Hyderabad,2023,61800000,15.8,No,,0,0,391139240
Startup 127,Tech,Arjun Verma,Ahmedabad,2021,87100000,15.88,No,,0,0,548488664
Startup 128,Agriculture,"Karan Singh, Rahul Kapoor",Pune,2025,50000000,8.54,No,,0,0,585480093
Startup 129,Travel,"Meera Singh, Pooja Reddy",Ahmedabad,2024,84600000,19.86,No,,0,0,425981873
Startup 130,Tech,"Pooja Singh, Ravi Mehta, Ravi Verma",Kolkata,2025,45800000,20.14,Yes,Vineeta Singh,42056433,19.41,227408142
Startup 131,Entertainment,Tanya Chopra,Pune,2022,11800000,1.25,No,,0,0,944000000
Startup 132,Education,"Ravi Nair, Tanya Singh, Pooja Gupta",Pune,2022,48400000,19.54,Yes,Anupam Mittal,31064075,18.88,247697031
Startup 133,Tech,Rahul Reddy,Chennai,2021,47600000,19.82,No,,0,0,240161453
Startup 134,Travel,"Sneha Gupta, Meera Reddy",Bangalore,2024,5500000,20.44,Yes,"Peyush Bansal, Aman Gupta",4789706,17.7,26908023
Startup 135,Education,"Rahul Nair, Rahul Reddy, Ravi Chopra",Kolkata,2025,82600000,10.72,Yes,"Anupam Mittal, Ghazal Alagh, Aman Gupta",73923311,12.36,770522388
Startup 136,Agriculture,"Nidhi Singh, Karan Singh, Karan Singh",Bangalore,2021,37000000,21.29,Yes,,32648627,19.57,173790511
Startup 137,Agriculture,Pooja Chopra,Kolkata,2022,71100000,12.8,No,,0,0,555468750
Startup 138,Agriculture,Sneha Singh,Mumbai,2025,30900000,1.78,Yes,,20619062,1.75,1735955056
Startup 139,Education,"Amit Gupta, Arjun Reddy",Bangalore,2023,89600000,24.85,Yes,"Vineeta Singh, Peyush Bansal, Namita Thapar",84619985,25.95,360563380
Startup 140,Finance,Tanya Mehta,Hyderabad,2025,83400000,2.42,No,,0,0,3446280991
Startup 141,E-commerce,"Tanya Nair, Rahul Reddy",Chennai,2024,59600000,7.42,Yes,"Aman Gupta, Namita Thapar",56430414,6.31,803234501
Startup 142,Food & Beverage,Rahul Reddy,Hyderabad,2022,51100000,4.41,No,,0,0,1158730158
Startup 143,Finance,"Meera Sharma, Sneha Chopra",Chennai,2021,47500000,23.81,No,,0,0,199496010
Startup 144,Travel,"Nidhi Nair, Tanya Mehta",Kolkata,2021,92500000,17.38,Yes,"Ghazal Alagh, Anupam Mittal, Aman Gupta",60096775,19.87,532220943
Startup 145,Tech,"Nidhi Kapoor, Sneha Reddy, Rahul Verma",Ahmedabad,2024,75300000,17.79,Yes,Peyush Bansal,48046932,15.75,423271500
Startup 146,Finance,"Rahul Patel, Arjun Sharma",Hyderabad,2024,80700000,23.59,Yes,,69673325,21.72,342094107
Startup 147,E-commerce,"Ravi Patel, Karan Kapoor, Amit Patel",Kolkata,2022,12500000,6.79,Yes,Vineeta Singh,12388484,8.11,184094256
Startup 148,Travel,Karan Singh,Ahmedabad,2021,56900000,17.39,No,,0,0,327199539
Startup 149,Tech,Tanya Sharma,Mumbai,2024,23000000,1.96,Yes,Ghazal Alagh,17461370,1.79,1173469387
Startup 150,E-commerce,"Karan Chopra, Sneha Nair",Delhi,2024,9500000,8.44,Yes,,6290433,7.86,112559241
Startup 151,Entertainment,"Sneha Kapoor, Karan Patel, Amit Patel",Bangalore,2022,12800000,11.88,Yes,"Peyush Bansal, Ghazal Alagh, Ashneer Grover",8291548,12.87,107744107
Startup 152,Fashion,"Sneha Nair, Meera Verma",Pune,2025,30800000,14.53,No,,0,0,211975223
Startup 153,Entertainment,Meera Reddy,Kolkata,2025,76000000,22.61,Yes,"Aman Gupta, Ashneer Grover",62062974,23.84,336134453
Startup 154,Health,"Amit Chopra, Arjun Sharma",Hyderabad,2025,43900000,12.81,Yes,,28840078,11.68,342701014
Startup 155,Health,Ravi Chopra,Pune,2023,77500000,3.04,Yes,,66253686,2.91,2549342105
Startup 156,Entertainment,"Amit Chopra, Rahul Patel, Arjun Kapoor",Pune,2022,72700000,20.97,No,,0,0,346685741
Startup 157,Agriculture,"Karan Sharma, Ravi Reddy",Hyderabad,2023,32500000,12.12,Yes,"Namita Thapar, Peyush Bansal, Vineeta Singh",20024287,13.75,268151815
Startup 158,Travel,Sneha Patel,Pune,2022,53500000,2.17,No,,0,0,2465437788
Startup 159,Fashion,Amit Chopra,Kolkata,2025,10600000,12.09,Yes,Ghazal Alagh,9671270,10.75,87675765
Startup 160,Agriculture,Karan Chopra,Delhi,2021,22900000,22.8,No,,0,0,100438596
Startup 161,Fashion,"Rahul Verma, Tanya Singh",Hyderabad,2024,52000000,10.89,No,,0,0,477502295
Startup 162,Health,Arjun Chopra,Delhi,2022,21400000,16.42,Yes,"Anupam Mittal, Peyush Bansal, Aman Gupta",19706558,18.36,130328867
Startup 163,Finance,"Nidhi Gupta, Ravi Gupta, Nidhi Singh",Pune,2022,28600000,5.32,No,,0,0,537593984
Startup 164,Entertainment,Amit Kapoor,Mumbai,2023,55200000,9.58,Yes,,35330966,10.18,576200417
Startup 165,Fashion,"Amit Patel, Tanya Chopra, Nidhi Mehta",Delhi,2025,61600000,8.63,No,,0,0,713789107
Startup 166,Entertainment,Nidhi Singh,Delhi,2025,86600000,24.71,No,,0,0,350465398
Startup 167,E-commerce,"Rahul Gupta, Amit Sharma",Mumbai,2025,62600000,6.25,No,,0,0,1001600000
Startup 168,Health,"Tanya Patel, Rahul Reddy",Delhi,2021,7000000,1.53,Yes,Ghazal Alagh,6570146,1.75,457516339
Startup 169,Tech,"Karan Singh, Sneha Reddy",Chennai,2021,14900000,24.42,No,,0,0,61015561
Startup 170,Agriculture,"Nidhi Mehta, Ravi Singh, Nidhi Patel",Delhi,2022,32400000,18.62,No,,0,0,174006444
Startup 171,Travel,"Sneha Patel, Nidhi Reddy, Rahul Sharma",Pune,2023,2100000,7.37,Yes,,1554404,8.22,28493894
Startup 172,Health,"Arjun Sharma, Sneha Reddy",Delhi,2022,17400000,18.57,Yes,"Anupam Mittal, Peyush Bansal, Aman Gupta",13442010,19.71,93699515
Startup 173,Entertainment,"Rahul Verma, Sneha Reddy",Hyderabad,2025,42900000,17.73,No,,0,0,241962774
Startup 174,Tech,"Tanya Gupta, Pooja Sharma",Mumbai,2025,18400000,16.32,Yes,Namita Thapar,16816691,16.13,112745098
Startup 175,Fashion,Ravi Chopra,Delhi,2021,91600000,10.15,Yes,"Anupam Mittal, Ghazal Alagh",64611005,11.52,902463054
Startup 176,Entertainment,Rahul Sharma,Bangalore,2021,83700000,13.99,Yes,,78369889,15.77,598284488
Startup 177,Food & Beverage,Karan Sharma,Ahmedabad,2025,85200000,16.05,No,,0,0,530841121
Startup 178,Travel,"Sneha Sharma, Karan Nair, Karan Nair",Pune,2024,54200000,12,Yes,Namita Thapar,46027895,12.11,451666666
Startup 179,Fashion,"Meera Sharma, Pooja Mehta",Chennai,2023,80200000,20.82,No,,0,0,385206532
Startup 180,Education,Amit Patel,Mumbai,2023,6100000,23.03,Yes,"Vineeta Singh, Anupam Mittal",5210399,19.57,26487190
Startup 181,Fashion,"Karan Reddy, Meera Kapoor",Hyderabad,2023,31900000,17.25,No,,0,0,184927536
Startup 182,Entertainment,Amit Nair,Pune,2024,31500000,17.43,No,,0,0,180722891
Startup 183,Tech,"Arjun Reddy, Arjun Kapoor",Chennai,2025,16300000,13.42,Yes,,15031402,15.04,121460506
Startup 184,Entertainment,"Nidhi Mehta, Amit Gupta",Chennai,2024,93800000,11.05,No,,0,0,848868778
Startup 185,Health,"Tanya Patel, Nidhi Patel, Ravi Gupta",Pune,2024,87500000,5.08,Yes,"Ashneer Grover, Peyush Bansal",61552814,5.71,1722440944
Startup 186,Food & Beverage,"Nidhi Sharma, Pooja Reddy, Pooja Kapoor",Ahmedabad,2021,39000000,7.25,No,,0,0,537931034
Startup 187,Agriculture,Meera Verma,Bangalore,2023,92000000,5.67,Yes,Namita Thapar,69245427,5.21,1622574955
Startup 188,Health,Rahul Patel,Pune,2022,59300000,22.43,No,,0,0,264378065
Startup 189,Food & Beverage,"Rahul Sharma, Meera Reddy",Delhi,2021,65900000,2.39,No,,0,0,2757322175
Startup 190,Fashion,Rahul Singh,Delhi,2023,81400000,19.33,Yes,"Peyush Bansal, Anupam Mittal",61974491,22.93,421107087
Startup 191,Finance,Amit Nair,Hyderabad,2021,98200000,1.34,No,,0,0,7328358208
Startup 192,E-commerce,Amit Verma,Hyderabad,2025,72000000,22.05,No,,0,0,326530612
Startup 193,Travel,Rahul Chopra,Mumbai,2025,23900000,18.45,Yes,Vineeta Singh,19164296,15.67,129539295
Startup 194,E-commerce,"Meera Mehta, Pooja Verma",Chennai,2022,68700000,3.42,No,,0,0,2008771929
Startup 195,Education,"Karan Kapoor, Rahul Verma",Kolkata,2025,71400000,23.39,No,,0,0,305258657
Startup 196,Education,Amit Sharma,Bangalore,2023,16200000,23.79,Yes,,10376362,21.47,68095838
Startup 197,Entertainment,"Sneha Reddy, Nidhi Mehta",Bangalore,2022,41900000,24.1,No,,0,0,173858921
Startup 198,Travel,Ravi Singh,Hyderabad,2021,54100000,13.55,Yes,"Ashneer Grover, Anupam Mittal, Namita Thapar",46822698,14.32,399261992
Startup 199,Education,"Arjun Verma, Ravi Patel",Ahmedabad,2022,84600000,6.64,No,,0,0,1274096385
Startup 200,Travel,"Tanya Singh, Meera Reddy, Meera Sharma",Bangalore,2025,1200000,9.19,No,,0,0,13057671
Startup 201,Travel,Karan Verma,Bangalore,2023,47800000,16.8,Yes,,28762935,18.39,284523809
Startup 202,E-commerce,"Karan Singh, Pooja Kapoor",Ahmedabad,2021,31100000,11.87,Yes,"Peyush Bansal, Ghazal Alagh, Vineeta Singh",22378479,12.83,262005054
Startup 203,Tech,"Ravi Gupta, Tanya Singh",Ahmedabad,2024,90800000,21.34,Yes,Vineeta Singh,55397884,18.31,425492033
Startup 204,Health,Arjun Mehta,Chennai,2024,15900000,21.15,No,,0,0,75177304
Startup 205,Education,"Amit Reddy, Meera Sharma, Tanya Nair",Hyderabad,2022,25300000,13.26,No,,0,0,190799396
Startup 206,Education,"Nidhi Singh, Ravi Singh, Pooja Patel",Chennai,2023,19100000,24.6,Yes,Peyush Bansal,15385789,23.39,77642276
Startup 207,Fashion,"Tanya Nair, Nidhi Sharma",Pune,2025,98900000,5.41,Yes,,65644696,5.5,1828096118
Startup 208,Finance,Nidhi Patel,Hyderabad,2021,34900000,9.66,Yes,,29571197,9.56,361283643
Startup 209,Tech,"Arjun Nair, Arjun Verma",Pune,2023,50800000,2.05,Yes,Aman Gupta,33881462,2.42,2478048780
Startup 210,E-commerce,"Amit Sharma, Pooja Patel, Karan Sharma",Hyderabad,2022,67200000,20.6,Yes,,44452923,20.26,326213592
Startup 211,Tech,"Ravi Sharma, Arjun Kapoor",Bangalore,2024,79300000,23.24,No,,0,0,341222030
Startup 212,Finance,"Amit Gupta, Rahul Nair, Pooja Mehta",Ahmedabad,2024,99300000,16.22,No,,0,0,612207151
Startup 213,Education,Rahul Singh,Mumbai,2023,67000000,14.19,No,,0,0,472163495
Startup 214,Tech,"Sneha Patel, Tanya Gupta",Pune,2021,14100000,17.11,Yes,"Aman Gupta, Ashneer Grover, Namita Thapar",11200257,15.94,82407948
Startup 215,Travel,Nidhi Gupta,Kolkata,2023,37700000,19.59,No,,0,0,192445125
Startup 216,E-commerce,Rahul Singh,Bangalore,2024,88900000,20.83,Yes,"Aman Gupta, Peyush Bansal, Ghazal Alagh",85063260,23.74,426788286
Startup 217,Health,"Tanya Chopra, Tanya Patel, Amit Nair",Chennai,2023,67900000,19.6,No,,0,0,346428571
